CommunityID,zl,uz,un_wa,mz_mh,vill,rmo,community,Upazila.name,Zila_name,Division_name,pop_both,Lat,Long
58,50,79,75,722,NA,1,*Nagar Mohammadpur,Kushtia Sadar Upazila,Kushtia Zila,Khulna Division,1214,89.14181167,23.87654833
59,70,66,27,295,NA,1,*Debinagar,Chapai Nawabganj Sadar Upazila,Chapai Nawabganj Zila,Rajshahi Division,20941,88.26558167,24.524835
60,64,47,88,435,NA,1,*Dariapur,Manda Upazila,Naogaon Zila,Rajshahi Division,1392,88.73620667,24.74171833
61,76,83,38,988,NA,1,*Ulath Chandipur,Sujanagar Upazila,Pabna Zila,Rajshahi Division,3151,89.48232167,23.90453167
62,76,83,38,79,1,1,Bankhola,Sujanagar Upazila,Pabna Zila,Rajshahi Division,6449,89.49739333,23.88138167
63,76,55,69,673,NA,1,*Malanchi,Pabna Sadar Upazila,Pabna Zila,Rajshahi Division,1131,89.26721833,24.03011833
64,76,22,86,908,2,1,Samaj Balajpur,Chatmohar Upazila,Pabna Zila,Rajshahi Division,1361,89.375795,24.280285
65,81,22,15,905,NA,2,*Shapura Miapara,Boalia Thana,Rajshahi Zila,Rajshahi Division,1973,88.60402667,24.38138
66,81,53,67,184,NA,1,*Bidirpur,Mohanpur Upazila,Rajshahi Zila,Rajshahi Division,557,88.61873,24.48793833
67,32,91,37,72,NA,1,*Bazra Haldia,Sundarganj Upazila,Gaibandha Zila,Rangpur Division,2304,89.51247667,25.47036167
68,32,91,82,27,NA,1,*Baidyanath,Sundarganj Upazila,Gaibandha Zila,Rangpur Division,6077,89.49432667,25.55482333
69,49,8,19,468,5,1,Dhublia Para,Char Rajibpur Upazila,Kurigram Zila,Rangpur Division,835,89.81218167,25.42468333
70,52,39,17,130,NA,1,*Bhotemari,Kaliganj Upazila,Lalmonirhat Zila,Rangpur Division,8540,89.17454667,26.00450167
71,77,90,40,180,2,1,Nijbari,Tentulia Upazila,Panchagarh Zila,Rangpur Division,1835,88.49313167,26.46725167
72,77,25,58,920,NA,1,*Shikarpur,Boda Upazila,Panchagarh Zila,Rangpur Division,461,88.65499333,26.28850167
73,77,90,81,663,3,1,Danga Para,Tentulia Upazila,Panchagarh Zila,Rangpur Division,858,88.35192333,26.48718
74,85,76,95,177,2,1,Char Para,Pirganj Upazila,Rangpur Zila,Rangpur Division,312,89.158015,25.40948
75,85,42,67,820,2,1,Char Sabdi,Kaunia Upazila,Rangpur Zila,Rangpur Division,1769,89.39329167,25.78172833
76,85,73,85,948,NA,1,*Taluk Kandi Natabari,Pirgachha Upazila,Rangpur Zila,Rangpur Division,1999,89.45551,25.63079333
77,94,8,31,114,NA,1,*Bara Palashbari,Baliadangi Upazila,Thakurgaon Zila,Rangpur Division,7493,88.21617167,26.061985
78,36,68,54,966,NA,3,*Swajangaon,Lakhai Upazila,Habiganj Zila,Sylhet Division,7299,91.20083333,24.28608667
79,58,74,94,772,3,1,Padunapur,Maulvibazar Sadar Upazila,Maulvibazar Zila,Sylhet Division,1117,91.66201167,24.52363333
80,58,74,14,72,1,1,Atgaon,Maulvibazar Sadar Upazila,Maulvibazar Zila,Sylhet Division,1149,91.717515,24.483815
